"Step","grateful-water-1 - Ranks/pretrained_model.transformer.h.2.attn.c_proj.weight.classical","grateful-water-1 - Ranks/pretrained_model.transformer.h.2.attn.c_proj.weight.classical__MIN","grateful-water-1 - Ranks/pretrained_model.transformer.h.2.attn.c_proj.weight.classical__MAX"
"20","1022","1022","1022"
"40","1023","1023","1023"
"60","1023","1023","1023"
"80","1023","1023","1023"
"100","1023","1023","1023"
"120","1023","1023","1023"
"140","1024","1024","1024"
"160","1024","1024","1024"
"180","1023","1023","1023"
"200","1022","1022","1022"
"220","1024","1024","1024"
"240","1023","1023","1023"
"260","1024","1024","1024"
"280","1023","1023","1023"
"300","1024","1024","1024"
"320","1023","1023","1023"
"340","1024","1024","1024"
"360","1024","1024","1024"
"380","1024","1024","1024"
"400","1023","1023","1023"
"420","1023","1023","1023"
"440","1023","1023","1023"
"460","1023","1023","1023"
"480","1023","1023","1023"
"500","1024","1024","1024"
"520","1024","1024","1024"
"540","1023","1023","1023"
"560","1023","1023","1023"
"580","1024","1024","1024"
"600","1024","1024","1024"