"Step","grateful-water-1 - Ranks/pretrained_model.transformer.h.0.mlp.c_fc.weight.effective","grateful-water-1 - Ranks/pretrained_model.transformer.h.0.mlp.c_fc.weight.effective__MIN","grateful-water-1 - Ranks/pretrained_model.transformer.h.0.mlp.c_fc.weight.effective__MAX"
"20","925.8116455078125","925.8116455078125","925.8116455078125"
"40","924.2898559570312","924.2898559570312","924.2898559570312"
"60","929.458251953125","929.458251953125","929.458251953125"
"80","932.9647827148438","932.9647827148438","932.9647827148438"
"100","936.1617431640625","936.1617431640625","936.1617431640625"
"120","938.20849609375","938.20849609375","938.20849609375"
"140","940.1476440429688","940.1476440429688","940.1476440429688"
"160","941.4095458984375","941.4095458984375","941.4095458984375"
"180","943.299072265625","943.299072265625","943.299072265625"
"200","945.1035766601562","945.1035766601562","945.1035766601562"
"220","946.3233642578125","946.3233642578125","946.3233642578125"
"240","947.6903076171875","947.6903076171875","947.6903076171875"
"260","948.9234008789062","948.9234008789062","948.9234008789062"
"280","949.45654296875","949.45654296875","949.45654296875"
"300","950.7735595703125","950.7735595703125","950.7735595703125"
"320","951.5999755859375","951.5999755859375","951.5999755859375"
"340","952.2926635742188","952.2926635742188","952.2926635742188"
"360","952.6873779296875","952.6873779296875","952.6873779296875"
"380","953.2544555664062","953.2544555664062","953.2544555664062"
"400","953.9606323242188","953.9606323242188","953.9606323242188"
"420","954.3673706054688","954.3673706054688","954.3673706054688"
"440","954.8020629882812","954.8020629882812","954.8020629882812"
"460","955.2879638671875","955.2879638671875","955.2879638671875"
"480","955.548095703125","955.548095703125","955.548095703125"
"500","955.79736328125","955.79736328125","955.79736328125"
"520","955.993408203125","955.993408203125","955.993408203125"
"540","956.116943359375","956.116943359375","956.116943359375"
"560","956.5013427734375","956.5013427734375","956.5013427734375"
"580","956.8070068359375","956.8070068359375","956.8070068359375"
"600","957.0880737304688","957.0880737304688","957.0880737304688"