"Step","grateful-water-1 - Ranks/pretrained_model.transformer.h.1.attn.c_attn.weight.effective","grateful-water-1 - Ranks/pretrained_model.transformer.h.1.attn.c_attn.weight.effective__MIN","grateful-water-1 - Ranks/pretrained_model.transformer.h.1.attn.c_attn.weight.effective__MAX"
"20","869.21044921875","869.21044921875","869.21044921875"
"40","868.2804565429688","868.2804565429688","868.2804565429688"
"60","882.2684936523438","882.2684936523438","882.2684936523438"
"80","892.98388671875","892.98388671875","892.98388671875"
"100","897.1520385742188","897.1520385742188","897.1520385742188"
"120","901.5352172851562","901.5352172851562","901.5352172851562"
"140","907.9126586914062","907.9126586914062","907.9126586914062"
"160","910.200927734375","910.200927734375","910.200927734375"
"180","913.1178588867188","913.1178588867188","913.1178588867188"
"200","915.4585571289062","915.4585571289062","915.4585571289062"
"220","916.5618896484375","916.5618896484375","916.5618896484375"
"240","918.3069458007812","918.3069458007812","918.3069458007812"
"260","919.4150390625","919.4150390625","919.4150390625"
"280","919.96142578125","919.96142578125","919.96142578125"
"300","921.9486083984375","921.9486083984375","921.9486083984375"
"320","922.9923706054688","922.9923706054688","922.9923706054688"
"340","924.1056518554688","924.1056518554688","924.1056518554688"
"360","925.2750244140625","925.2750244140625","925.2750244140625"
"380","926.2603149414062","926.2603149414062","926.2603149414062"
"400","927.0264892578125","927.0264892578125","927.0264892578125"
"420","928.0618896484375","928.0618896484375","928.0618896484375"
"440","928.7108764648438","928.7108764648438","928.7108764648438"
"460","929.5353393554688","929.5353393554688","929.5353393554688"
"480","929.9410400390625","929.9410400390625","929.9410400390625"
"500","930.4568481445312","930.4568481445312","930.4568481445312"
"520","930.7945556640625","930.7945556640625","930.7945556640625"
"540","931.1865234375","931.1865234375","931.1865234375"
"560","931.6844482421875","931.6844482421875","931.6844482421875"
"580","931.987060546875","931.987060546875","931.987060546875"
"600","932.41064453125","932.41064453125","932.41064453125"