"Step","grateful-water-1 - Ranks/pretrained_model.transformer.h.0.mlp.c_fc.weight.stable","grateful-water-1 - Ranks/pretrained_model.transformer.h.0.mlp.c_fc.weight.stable__MIN","grateful-water-1 - Ranks/pretrained_model.transformer.h.0.mlp.c_fc.weight.stable__MAX"
"20","102.79850006103516","102.79850006103516","102.79850006103516"
"40","92.87710571289062","92.87710571289062","92.87710571289062"
"60","107.60476684570312","107.60476684570312","107.60476684570312"
"80","118.59418487548828","118.59418487548828","118.59418487548828"
"100","127.69383239746094","127.69383239746094","127.69383239746094"
"120","134.80572509765625","134.80572509765625","134.80572509765625"
"140","136.9545135498047","136.9545135498047","136.9545135498047"
"160","140.99615478515625","140.99615478515625","140.99615478515625"
"180","144.93646240234375","144.93646240234375","144.93646240234375"
"200","148.4211883544922","148.4211883544922","148.4211883544922"
"220","149.74903869628906","149.74903869628906","149.74903869628906"
"240","153.58468627929688","153.58468627929688","153.58468627929688"
"260","157.84512329101562","157.84512329101562","157.84512329101562"
"280","160.02499389648438","160.02499389648438","160.02499389648438"
"300","162.76718139648438","162.76718139648438","162.76718139648438"
"320","163.94247436523438","163.94247436523438","163.94247436523438"
"340","165.62525939941406","165.62525939941406","165.62525939941406"
"360","166.8575439453125","166.8575439453125","166.8575439453125"
"380","168.26290893554688","168.26290893554688","168.26290893554688"
"400","168.8566436767578","168.8566436767578","168.8566436767578"
"420","170.34310913085938","170.34310913085938","170.34310913085938"
"440","171.4818115234375","171.4818115234375","171.4818115234375"
"460","172.94053649902344","172.94053649902344","172.94053649902344"
"480","172.32504272460938","172.32504272460938","172.32504272460938"
"500","171.95462036132812","171.95462036132812","171.95462036132812"
"520","172.76405334472656","172.76405334472656","172.76405334472656"
"540","173.4337158203125","173.4337158203125","173.4337158203125"
"560","174.20545959472656","174.20545959472656","174.20545959472656"
"580","172.23570251464844","172.23570251464844","172.23570251464844"
"600","171.22988891601562","171.22988891601562","171.22988891601562"