"Step","grateful-water-1 - Ranks/pretrained_model.transformer.h.1.attn.c_attn.weight.stable","grateful-water-1 - Ranks/pretrained_model.transformer.h.1.attn.c_attn.weight.stable__MIN","grateful-water-1 - Ranks/pretrained_model.transformer.h.1.attn.c_attn.weight.stable__MAX"
"20","74.6230239868164","74.6230239868164","74.6230239868164"
"40","79.77095031738281","79.77095031738281","79.77095031738281"
"60","87.7702865600586","87.7702865600586","87.7702865600586"
"80","94.5853271484375","94.5853271484375","94.5853271484375"
"100","97.38980102539062","97.38980102539062","97.38980102539062"
"120","102.18917083740234","102.18917083740234","102.18917083740234"
"140","108.81693267822266","108.81693267822266","108.81693267822266"
"160","110.89389038085938","110.89389038085938","110.89389038085938"
"180","114.67777252197266","114.67777252197266","114.67777252197266"
"200","118.09319305419922","118.09319305419922","118.09319305419922"
"220","120.02303314208984","120.02303314208984","120.02303314208984"
"240","122.2684326171875","122.2684326171875","122.2684326171875"
"260","122.77301025390625","122.77301025390625","122.77301025390625"
"280","122.99723815917969","122.99723815917969","122.99723815917969"
"300","126.08895111083984","126.08895111083984","126.08895111083984"
"320","127.7650375366211","127.7650375366211","127.7650375366211"
"340","129.980712890625","129.980712890625","129.980712890625"
"360","131.99685668945312","131.99685668945312","131.99685668945312"
"380","133.67489624023438","133.67489624023438","133.67489624023438"
"400","134.73757934570312","134.73757934570312","134.73757934570312"
"420","136.91610717773438","136.91610717773438","136.91610717773438"
"440","138.44525146484375","138.44525146484375","138.44525146484375"
"460","140.57315063476562","140.57315063476562","140.57315063476562"
"480","141.7293243408203","141.7293243408203","141.7293243408203"
"500","143.0363311767578","143.0363311767578","143.0363311767578"
"520","143.97052001953125","143.97052001953125","143.97052001953125"
"540","144.73345947265625","144.73345947265625","144.73345947265625"
"560","145.62051391601562","145.62051391601562","145.62051391601562"
"580","146.84320068359375","146.84320068359375","146.84320068359375"
"600","148.00277709960938","148.00277709960938","148.00277709960938"