"Step","grateful-water-1 - Ranks/pretrained_model.transformer.h.2.attn.c_proj.weight.stable","grateful-water-1 - Ranks/pretrained_model.transformer.h.2.attn.c_proj.weight.stable__MIN","grateful-water-1 - Ranks/pretrained_model.transformer.h.2.attn.c_proj.weight.stable__MAX"
"20","51.9764518737793","51.9764518737793","51.9764518737793"
"40","56.061126708984375","56.061126708984375","56.061126708984375"
"60","61.79430389404297","61.79430389404297","61.79430389404297"
"80","65.14322662353516","65.14322662353516","65.14322662353516"
"100","66.710693359375","66.710693359375","66.710693359375"
"120","67.68019104003906","67.68019104003906","67.68019104003906"
"140","68.9922103881836","68.9922103881836","68.9922103881836"
"160","68.98580169677734","68.98580169677734","68.98580169677734"
"180","69.72088623046875","69.72088623046875","69.72088623046875"
"200","70.73681640625","70.73681640625","70.73681640625"
"220","71.85627746582031","71.85627746582031","71.85627746582031"
"240","72.80665588378906","72.80665588378906","72.80665588378906"
"260","72.72714233398438","72.72714233398438","72.72714233398438"
"280","72.65348815917969","72.65348815917969","72.65348815917969"
"300","73.45149230957031","73.45149230957031","73.45149230957031"
"320","74.15977478027344","74.15977478027344","74.15977478027344"
"340","75.45077514648438","75.45077514648438","75.45077514648438"
"360","76.20228576660156","76.20228576660156","76.20228576660156"
"380","76.59993743896484","76.59993743896484","76.59993743896484"
"400","76.64078521728516","76.64078521728516","76.64078521728516"
"420","77.77947998046875","77.77947998046875","77.77947998046875"
"440","78.41106414794922","78.41106414794922","78.41106414794922"
"460","79.4415283203125","79.4415283203125","79.4415283203125"
"480","79.95692443847656","79.95692443847656","79.95692443847656"
"500","80.78841400146484","80.78841400146484","80.78841400146484"
"520","81.17584228515625","81.17584228515625","81.17584228515625"
"540","81.77175903320312","81.77175903320312","81.77175903320312"
"560","82.34501647949219","82.34501647949219","82.34501647949219"
"580","82.7242202758789","82.7242202758789","82.7242202758789"
"600","83.40687561035156","83.40687561035156","83.40687561035156"